Identifier,State,Year,Prohibited_Citation,NonresidentCont,OutOfStateCorpCont,OutOfStateCommCont,InNameOfAnother,GamblingCont,GamblingContExplain,RegIndCont,RegIndContExplain,GovtEmpSolicit,ContLegisSession,LegisSessionComments,CandLoan,CandLoanExplain,CorpExpendProhibit,LaborExpendProhib,OtherRestrictionsExplain,ExpForPrimaryCand
"MT2004","MT",2004,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","Yes","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2006","MT",2006,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","Yes","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2008","MT",2008,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","Yes","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2010","MT",2010,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","No","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2012","MT",2012,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","No","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2014","MT",2014,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","No","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2016","MT",2016,"Mont. Code Ann. §§ 13-37-217, 13-35-227, 7-3-1254, 13-35-231, 33-18-305, 39-31-402, 13-35-226, 13-35-228","No","Yes","No","Yes","No",,"No",,"Yes","No",,"Yes","Loans are treated as contributions.","No","No","(1) A corporation may not make a contribution or an expenditure in connection with a candidate or a political committee that supports or opposes a candidate or a political party.
(2) A person, candidate, or political committee may not accept or receive a corporate contribution described in subsection (1).
(3) This section does not prohibit the establishment or administration of a separate, segregated fund to be used for making political contributions or expenditures if the fund consists only of voluntary contributions solicited from an individual who is a shareholder, employee, or member of the corporation.

A political party may not endorse, contribute to, or make an expenditure to support or oppose a judicial candidate.
No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.
It is an unfair labor practice for a labor organization or its agents to use agency shop fees for contributions to political candidates or parties at state or local levels.
It is unlawful for any employer, in paying employees the salary or wages due them, to include with their pay the name of any candidate or any political mottoes, devices, or arguments containing threats or promises, express or implied, calculated or intended to influence the political opinions or actions of the employees. It is unlawful for an employer to exhibit in a place where the employer’s workers or employees may be working any handbill or placard containing any threat, promise, notice, or information that, in case any particular ticket or political party, organization, or candidate is elected, work in the employer’s place or establishment will cease, in whole or in part, or will be continued or increased; the employer’s place or establishment will be closed; the salaries or wages of the workers or employees will be reduced or increased; or other threats or promises, express or implied, intended or calculated to influence the political opinions or actions of the employer’s workers or employees.
A corporation may not increase the salary of any officer or employee or give an emolument to any officer, employee, or other person with the intention that the increase in salary, the emolument, or any part thereof be contributed to support or oppose a candidate or ballot issue.","No"
"MT2018","MT",2018,"Mont. Code Ann. §§ 13-37-217, 39-31-402, 13-35-226, 13-35-502,  7-3-1254. 33-18-305 (1)","No","Yes","No","Yes","No",,"Yes","No insurer shall directly or indirectly pay or use or offer, consent, or agree to pay or use any money or property for or in aid of any political party, committee, or organization or for or in aid of any corporation or other body organized or maintained for political purposes or for or in aid of any candidate for political office or for nomination for such office or for any political purpose whatsoever or for the reimbursement or indemnification of any person for money or property so used.","Yes","No",,"No",,"Yes","Yes",,"No"
"NC1996","NC",1996,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","While the general assembly is in session, a contribution may not be solicited or accepted from or at the behest of a registered lobbyist by a member of the council of state or general assembly or a political committee whose principal purpose is to assist a member or members of the council of state or general assembly, and a registered lobbyist may not make a contribution to any such members or political committees. The general assembly is considered to be in regular session from the date set by law or resolution that the general assembly convenes until either it adjourns sine die or it recesses or adjourns for more than 10 days.","No",,"Yes","Yes","Monetary contributions in excess of $100 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b) 

Contributions of more than $100 may not be accepted from a nonresident unless it is accompanied by a written statement setting forth the name and address of each contributor. NCGS 163-278.8©","No"
"NC1998","NC",1998,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $100 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b) 

Contributions of more than $100 may not be accepted from a nonresident unless it is accompanied by a written statement setting forth the name and address of each contributor. NCGS 163-278.8©","No"
"NC2000","NC",2000,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $100 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b) 

Contributions of more than $100 may not be accepted from a nonresident unless it is accompanied by a written statement setting forth the name and address of each contributor. NCGS 163-278.8©","No"
"NC2002","NC",2002,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $100 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b) 

Contributions of more than $100 may not be accepted from a nonresident unless it is accompanied by a written statement setting forth the name and address of each contributor. NCGS 163-278.8©","No"
"NC2004","NC",2004,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2006","NC",2006,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2008","NC",2008,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"Yes","Yes","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2010","NC",2010,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"No","No","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2012","NC",2012,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"No","No","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2014","NC",2014,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Yes, while the general assembly is in regular session, a limited contributor may not (1) make or offer to make a contribution to a limited contributee, (2) make a contribution to any candidate, officeholder, or political committee and direct or request that the contribution may be made in turn to a limited contributee, or (3) transfer any amount of money or anything of value to any entity and direct or request that the entity use what was transferred to contribute to a limited contributee.","No",,"No","No","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2016","NC",2016,"Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 22A: 163-278.14. Historical session laws: 1973, c. 1272, s. 1; Current state code: NCGS 163-278.8. Historical session laws: 1967, c. 821, s. 1; Current state code: 126-13.","No","Yes","No","Yes","No",,"No",,"No","Yes","Contributions from lobbyists are not permitted during general sessions.","No",,"No","No","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order. NCGS 163-278.14(b)","No"
"NC2018","NC",2018,"§ 163A-1430; § 163A-1428; § 163A-1428(b)","No","Yes","No","Yes","No",,"No",,"No","Yes","Lobbyists and associated entities are prohibited from making contributions, see: 163-278.13B","No",,"No","No","Monetary contributions in excess of $50 may not be accepted unless in the form of check, draft, or money order","No"
"ND1996","ND",1996,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND1998","ND",1998,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2000","ND",2000,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2002","ND",2002,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2004","ND",2004,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2006","ND",2006,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2008","ND",2008,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No","Corp./Union Independent Expenditures are banned, but other expenditures are permitted. See: 16.1-08.1-03-10","No"
"ND2010","ND",2010,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No",,"No"
"ND2012","ND",2012,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No",,"No"
"ND2014","ND",2014,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No",,"No"
"ND2016","ND",2016,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No",,"No"
"ND2018","ND",2018,"16.1-08.1-03.3.(1)&(4); 16.1-08.1-03.5.","No","Yes","No","No","No",,"No",,"No","No",,"No",,"No","No",,"No"
"NE1996","NE",1996,"49-1473; 49-1468; 49-1469.02-.03;  1995, LB 28, § 5; § 49-1446.04; 49-1469(1); 49-1449(2)(a)-(b)","No","No","No","Yes","Yes","Lottery contractor awarded a major procurement by the lottery division cannot make a contribution or independent expenditure for a candidate for state office during the term of the contract. Candidates, likewise, cannot receive these benefits. If candidate violates, they must transfer equal amount to a tax-exempt charitible institution.","No",,"No","No",,"Yes","$15,000 prior to and including first 30 days after creation of committee. After 30 days, the committee shall not accept loans in an aggregate amount >50%  of the contributions of money, other than the proceeds of loans, which the candidate committee has received during such period as of the date of the receipt of the proceeds of the loan.","No","No","Labor unions, corporations, etc cannot receive contributions unless they set up a sepearate segregated fund.","No"
"NE1998","NE",1998,"49-1473[1977, LB 41, § 46]; 49-1468[1976, LB 987, § 68]; 49-1449(2)(a)-(b) [1980, LB 535, § 7]; 1469.02 [1995, LB 28, § 5]; 49-1469.03[1995, LB 28, § 6]; 49-1469.04 [1995, LB 399, § 2]; 49-1469 [1996, LB 1263, § 4] (1), (2)(a)-(b);  § 49-1446.04(1)","No","No","No","Yes","Yes","Lottery contractor awarded a major procurement by the lottery division cannot make a contribution or independent expenditure for a candidate for state office during the term of the contract. Candidates, likewise, cannot receive these benefits. If candidate violates, they must transfer equal amount to a tax-exempt charitible institution.","No",,"No","No",,"Yes","$15,000 prior to and including first 30 days after creation of committee. After 30 days, the committee shall not accept loans in an aggregate amount >50%  of the contributions of money, other than the proceeds of loans, which the candidate committee has received during such period as of the date of the receipt of the proceeds of the loan","No","No","Labor unions, corporations, etc cannot receive contributions unless they set up a sepearate segregated fund.
Legislators raised their spending limit for campaigns to $73,000 from $50,000. [LB 420]","No"
"NE2000","NE",2000,"49-1473; 49-1468; 49-1449; 1469.02 [1995, LB 28, § 5]; 49-1469.03[1995, LB 28, § 6]; 49-1469.04 [1995, LB 399, § 2]; 49-1469 [1996, LB 1263, § 4]","No","No","No","Yes","Yes","Lottery contractor awarded a major procurement by the lottery division cannot make a contribution or independent expenditure for a candidate for state office during the term of the contract. Candidates, likewise, cannot receive these benefits. If candidate violates, they must transfer equal amount to a tax-exempt charitible institution.","No",,"No","No",,"Yes","$15,000 prior to and including first 30 days after creation of committee. After 30 days, the committee shall not accept loans in an aggregate amount >50%  of the contributions of money, other than the proceeds of loans, which the candidate committee has received during such period as of the date of the receipt of the proceeds of the loan","No","No","Labor unions, corporations, etc cannot receive contributions unless they set up a sepearate segregated fund.","No"
"NE2002","NE",2002,"49-1473; 49-1468; 49-1449; 1469.02 [1995, LB 28, § 5]; 49-1469.03[1995, LB 28, § 6]; 49-1469.04 [1995, LB 399, § 2]; 49-1469 [1996, LB 1263, § 4]","No","No","No","Yes","Yes","Lottery contractor awarded a major procurement by the lottery division cannot make a contribution or independent expenditure for a candidate for state office during the term of the contract. Candidates, likewise, cannot receive these benefits. If candidate violates, they must transfer equal amount to a tax-exempt charitible institution.","No",,"No","No",,"Yes","$15,000 prior to and including first 30 days after creation of committee. After 30 days, the committee shall not accept loans in an aggregate amount >50%  of the contributions of money, other than the proceeds of loans, which the candidate committee has received during such period as of the date of the receipt of the proceeds of the loan","No","No","Labor unions, corporations, etc cannot receive contributions unless they set up a sepearate segregated fund.","No"
