Identifier,State,Year,Disclosure_Citation,CandFileReceipts,CandFileExpend,CandFileExemption,CandFileExemption_Amount,CandDonorExemption,CandDonorExplain,CandDonorAddress,CandDonorOccupation,CandDonorEmployer,CandExpendWho,CandExpendAddress,CandExpendPurpose,Cand_PreElection_Regular,CandFile_Electronic,CandFile_Electronic_Exemption,CandFile_Electronic_Exemption_Amount,CandFile_BundlerEarmarked,CandFile_BundlerEarmarked_Explained,Cand_SpecialReport,Cand_SpecialReport_Explained,PartyFileReceipts,PartyFileExpend,PartyFileExemption,PartyFileExemption_Amount,PartyDonorExemption,PartyDonorExplain,PartyDonorAddress,PartyDonorOccupation,PartyDonorEmployer,PartyExpendWho,PartyExpendAddress,PartyExpendPurpose,Party_PreElection_Regular,PartyFile_Electronic,PartyFile_Electronic_Exemption,PartyFile_Electronic_Exemption_Amount,PartyFile_BundlerEarmarked,PartyFile_BundlerEarmarked_Explained,PACFileReceipts,PACFileExpend,PACFileExemption,PACFileExemption_Amount,PACDonorExemption,PACDonorExplain,PACDonorAddress,PACDonorOccupation,PACDonorEmployer,PACExpendWho,PACExpendAddress,PACExpendPurpose,PAC_PreElection_Regular,PAC_PreElection_Available,PACFile_Electronic,PACFile_Electronic_Exemption,PACFile_Electronic_Exemption_Amount,PACFile_BundlerEarmarked,PACFile_BundlerEarmarked_Explained,BallotPropFile_Receipts,BallotPropFile_Expend,BallotProp_PolComm,BallotPropFileExemption,BallotPropFileExemption_Amount,BallotDonorExemption,BallotDonorExplain,BallotDonorAddress,BallotDonorOccupation,BallotDonorEmployer,BallotExpendWho,BallotExpendAddress,BallotExpendPurpose,Ballot_PreElection_Regular,Ballot_PreElection_Available,BallotFile_Electronic,BallotFile_Electronic_Exemption,BallotFile_Electronic_Exemption_A,BallotFile_BundlerEarmarked,BallotFile_BundlerEarmarked_Explained
"WI2014","WI",2014,"§ 11.06(1)(a),(1)(b,(1)(g),(1)(j),(7),(7m),11(b),11©; § 11.05 (2r); § 11.20(2); § 11.23(6); § 11.23(1),(6); 11.38(8); 11.12(6)(am)","Yes","Yes","Yes","greater than $1,000/calendar year/No more than $100 from Single Donor","21","The occupation and name and address of the principal place of employment, if any, of each individual contributor whose cumulative contributions for the calendar year are in excess of $ 100.","Yes","Yes","Yes","Yes","Yes","Yes","8","Yes","Yes","$20,000 or more contributions raised during a campaign period","Yes","Reporting of conduit contributions. (a) A conduit transferring a contribution of money shall, in writing, identify itself to the transferee as a conduit and report to the transferee of each contribution transferred by it the information about the original contributor required for reporting purposes under sub. (1) (a) and (b) at the time the contribution is transferred. The conduit shall include the information in its report under s. 11.12 (5) or 11.20 for the date on which the contribution is received and transferred.
o	(b)  Each filing officer shall place a copy of any report received under par. (a) in the file of the conduit and the file of the transferee.
o	(c)  A contribution of money received from a conduit, accompanied by the information required under par. (a), is considered to be a contribution from the original contributor.","No",,"Yes","Yes","Yes","301","21","The occupation and name and address of the principal place of employment, if any, of each individual contributor whose cumulative contributions for the calendar year are in excess of $ 100.","Yes","Yes","Yes","Yes","Yes","Yes","8","Yes","Yes","$20,000 or more contributions raised during a campaign period","Yes","Reporting of conduit contributions. (a) A conduit transferring a contribution of money shall, in writing, identify itself to the transferee as a conduit and report to the transferee of each contribution transferred by it the information about the original contributor required for reporting purposes under sub. (1) (a) and (b) at the time the contribution is transferred. The conduit shall include the information in its report under s. 11.12 (5) or 11.20 for the date on which the contribution is received and transferred.
o	(b)  Each filing officer shall place a copy of any report received under par. (a) in the file of the conduit and the file of the transferee.
o	(c)  A contribution of money received from a conduit, accompanied by the information required under par. (a), is considered to be a contribution from the original contributor.","Yes","Yes","Yes","301","21","The occupation and name and address of the principal place of employment, if any, of each individual contributor whose cumulative contributions for the calendar year are in excess of $ 100.","Yes","Yes","Yes","Yes","Yes","Yes","8",,"Yes","Yes","$20,000 or more contributions raised during a campaign period","Yes","Reporting of conduit contributions. (a) A conduit transferring a contribution of money shall, in writing, identify itself to the transferee as a conduit and report to the transferee of each contribution transferred by it the information about the original contributor required for reporting purposes under sub. (1) (a) and (b) at the time the contribution is transferred. The conduit shall include the information in its report under s. 11.12 (5) or 11.20 for the date on which the contribution is received and transferred.
o	(b)  Each filing officer shall place a copy of any report received under par. (a) in the file of the conduit and the file of the transferee.
o	(c)  A contribution of money received from a conduit, accompanied by the information required under par. (a), is considered to be a contribution from the original contributor.","Yes","Yes","Yes","Yes","751","21","The occupation and name and address of the principal place of employment, if any, of each individual contributor whose cumulative contributions for the calendar year are in excess of $ 100.","Yes","Yes","Yes","Yes","Yes","Yes","8",,"Yes","Yes","$20,000 or more contributions raised during a campaign period","No",
"WY1996","WY",1996,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","NA","No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: amount expended to obtain signatures, name, address, and amount paid to each circulator, time period during which signatures were collected","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY1998","WY",1998,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election",,"No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2000","WY",2000,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election",,"No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2002","WY",2002,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - disclosure 10 days AFTER election",,"No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2004","WY",2004,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","NA","No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2006","WY",2006,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2008","WY",2008,"22-25-106;","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","No",,,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","No",,,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"No",,,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","No",,,"No",
"WY2010","WY",2010,"22-25-106; 22-25-107","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","Yes","No",,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","Yes","No",,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"Yes","No",,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","Yes","No",,"No",
"WY2012","WY",2012,"22-25-106; 22-25-107","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","Yes","No",,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","Yes","No",,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"Yes","No",,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","Yes","No",,"No",
"WY2014","WY",2014,"22-25-106; 22-25-107","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","Yes","No",,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","NA - reports due 10 days after elections","Yes","No",,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"Yes","No",,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30","NA","Yes","No",,"No",
"WY2016","WY",2016,"22-25-106; 22-25-107","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7","Yes","No",,"No",,"No",,"Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes",,"Yes","No",,"Yes","""It shall attribute all campaign receipts, expenses and obligations to a specific candidate only if the campaign receipts, expenses and obligations can be specifically identified to that specific candidate to the exclusion of other candidates on the ticket.""","Yes","Yes","No","0","25",,"No","No","No","Yes","No","Yes","7",,"Yes","No",,"No",,"Yes","Yes","Yes","No","0","25","Pre-election disclosure must include: total amount of expenditures to obtain signatures, names and addresses of paid petition circulators and the amount paid to each, period of time during which signatures were obtained","No","No","No","Yes","No","Yes","30",,"Yes","No",,"No",
"OH2004","OH",2004,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","Yes","Yes","10,000","Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits."
"OH2006","OH",2006,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","Yes","Yes","10,000","Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","No",,,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","No","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits."
"OH2008","OH",2008,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","Yes","Yes","10,000","Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits."
"OH2010","OH",2010,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","Yes","Yes","10,000","Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits."
"OH2012","OH",2012,"1995 S 8, eff. 8-23-95 (Ohio Code § 3517.10)","Yes","Yes","Yes","1000","0","Employer is required if an individual gave over 100 dollars, or if the wages deducted amount to over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","Yes","Yes","10,000","Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","No",,"Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","Yes","Yes","Yes","Yes","12","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits.","Yes","Yes","Yes","Yes","1000","0","Employer is required if individual gave over 100 dollars, or if wages deducted in an amount over 100 dollars.","Yes","No","No","Yes","Yes","Yes","12","NA","Yes","No",,"Yes","A contribution received by a person, candidate or reporting entity from another person or entity with the understanding that the contribution is to be passed on to another candidate or reporting entity.
If this occurs, and the intermediate recipient is not a reporting entity, the intermediate recipient must inform the ultimate recipient of the original source of the contribution. If the intermediate recipient is a reporting entity, the intermediate recipient must not only inform the ultimate recipient of the original source of the contribution, but must also reflect in his or her own report from whom the contribution was originally received and for whose benefit the contribution was given. The ultimate recipient must report the original source of the contribution as well as the intermediate recipient’s role in receiving and passing on the contribution. Earmarked contributions are subject to all applicable contribution limits."
