Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"MD2002","MD",2002,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","1825782.85","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2004","MD",2004,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,086,871.73","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2006","MD",2006,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,086,871.73","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2008","MD",2008,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,298,018.93","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2010","MD",2010,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,298,018.93","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2012","MD",2012,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,586,124.21","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2014","MD",2014,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,586,124.21","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2016","MD",2016,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §15-101 et. Seq.; 2015 HB 485","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,800,000 (rounded)","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,"MD",,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"MD2018","MD",2018," MD Code, Election Law, § 15-103; MD Code, Election Law, § 15-104; MD Code, Election Law, § 15-104.1;  MD Code, Election Law, § 15-105; MD Code, Election Law, § 15-106; MD Code, Election Law, § 15-107","No","None",,,,,,,,,,,,,,,,,,,,,,,,," Yes","Mixed","1:1 in opposed primary; one dollar in public funds for every three dollars in qualifying funds raised in unopposed primary; If opposed, all candidates receive the same amount in the general election; if unopposed, candidate is ineligible for public funding in the general election.","Must raise private contributions from individuals that is 10% of the maximum campaign expenditure limit for an election in contributions of not more than $250 from an individual.","Yes","2,800,000 (rounded)","Yes","Public funds may only be spent by the authority of the candidate or treasurer to further the candidate's nomination or election, for expenses incurred no later than 30 days after the election for which they were made, and for purposes that do not violate state law. Unspent public funds must be repaid no later than 60 days after the election for which the funds were granted.","No",,,"Yes","Yes","No",,,,,,,,,,,,,"Voluntary contributions to the Fund; fees, fines and penalties expressly allocated to the fund; surplus campaign funds paid to the fund; contributions to the fund made through the tax checkoff on the individual income tax return (unlimited).",,
"ME1996","ME",1996,"1996 36 M.R.S. § 5283","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,"Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party; Voluntary donations made directly to the fund; and Fines collected under section 1020-A, subsection 4 and section 1127.",,
"ME1998","ME",1998,"1996 36 M.R.S. § 5283","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,"Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party; Voluntary donations made directly to the fund; and Fines collected under section 1020-A, subsection 4 and section 1127.",,
"ME2000","ME",2000,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing $500.
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","13179","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","13179","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing $1500 .","Yes","51732","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","51732","No","No","Yes","Full Public Financing","Public funding disbursements made by the state of Maine: Primary Max, including trigger funds: 314,067.00; General Max, including trigger funds: $860,730. Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state  voters provide a qualifying contribution .","Yes","Unknown","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","Unknown","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
"ME2002","ME",2002,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","16902","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","16902","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","66888","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","66888","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","1500000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","1500000","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
"ME2004","ME",2004,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","16218","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","16218","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","69834","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","69834","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","1500000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","1800000 ($1,000,000 for initial distributions in the primary and general; $1,200,000 in additional trigger funds)","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
"ME2006","ME",2006,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","17598","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","17598","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","83484","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","83484","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","1500000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","1800000 ($1,000,000 for initial distributions in the primary and general; $1,200,000 in additional trigger funds)","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
"ME2008","ME",2008,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","16944","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","16944","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","80472","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","80472","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","1500000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","1500000 ($1,000,000 for initial distributions in the primary and general; $500,000 in trigger funds)","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
"ME2010","ME",2010,"21-A M.R.S. § 1123, 21-A M.R.S. § 1124, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","60 registered voters in the electoral division provide a qualifying contribution of $5 or more. 50 verified registered voters from the candidate's electoral division must support the candidacy by providing a qualifying contribution to that candidate.","Yes","16944","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","16944","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","175 registered voters in the electoral division provide a qualifying contribution of $5 or more.","Yes","80472","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","80472","No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","3,250 registered state voters provide a qualifying contribution of $5 ore more.","Yes","1500000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.","1500000 ($1,000,000 for initial distributions in the primary and general; $500,000 in trigger funds)","No","No","No",,,,,,,,,,,,,"1) The qualifying contributions required under section 1125 when those contributions are submitted to the commission; 2) Two million dollars of the revenues from the taxes every year; 3) Revenue from a tax check off program allowing a resident of the State who files a tax return with the State Tax Assessor to designate that $3 be paid into the fund; 4) Seed money contributions remaining unspent after a candidate has been certified as a Maine Clean Election Act candidate; 5) Fund revenues that were distributed to a Maine Clean Election Act candidate and that remain unspent after the candidate has lost a primary election or after all general elections; 6) Other unspent fund revenues distributed to any Maine Clean Election Act candidate who does not remain a candidate throughout a primary or general election cycle; 7) Voluntary donations made directly to the fund; and; 8) Fines collected under section 1020-A, subsection 4 and section 1127. Political Party funding: Every individual resident, who is entitled to a refund, may designate that any part of that refund be paid over to any specified political party.",,
