Identifier,State,Year,RefundOrTaxCreditOrTaxDeduction,RefundOrTaxCreditOrTaxDeduction_Citation,RefundOrTaxCreditFormula,RefundOrTaxCreditMax,EligibleContributionRecipients,EligibleToClaim_NoTaxOwed,EligibleToClaim_Deduction,EligibleToClaim_Other,EligibleToClaim_Other_Explained,Agency_Disclosure,Agency_Disclosure_Citation,Agency_Enforcement,Agency_Enforcement_Citation,Agency_PublicFinancing,Agency_PublicFinancing_Citation,Agency_RefundCreditDeduction,Agency_RefundCreditDeduction_Citation,Agency_Lobbying,Agency_Lobbying_Citation,Agency_DoingBusiness,Agency_DoingBusiness_Citation,Agency_FinancialDisclosureEthics,Agency_FinancialDisclosureEthics_Citation,Agency_Other,Agency_Other_Citation,OtherProvisions,OtherProvisions_Explained
"ME2016","ME",2016,"None",,,,,,,,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002"," The Secretary of State; Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A"," The Secretary of State, the Commission on Governmental Ethics and Election Practices","21-A M.R.S. § 1020-A, 21-A M.R.S. § 1126","N/A","N/A","Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002
21-A M.R.S. § 1062-A",,,"Commission on Governmental Ethics and Election Practices","1 M.R.S. § 1002",,,"No","N/A"
"ME2018","ME",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MI1996","MI",1996,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI1998","MI",1998,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2000","MI",2000,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2002","MI",2002,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2004","MI",2004,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2006","MI",2006,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2008","MI",2008,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2010","MI",2010,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2012","MI",2012,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2014","MI",2014,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2016","MI",2016,"None",,,,,,,,,"Secretary of State, County Clerk","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","Secretary of State, Attorney General","Mich. Comp. Laws § § 169.215, 169.216; 1976 Mich. Pub. Acts 1268","State Treasurer, Secretary of State","Mich. Comp. Laws § § 169.261-169.263; 1976 Mich. Pub. Acts 1268","N/A","N/A","Secretary of State","Mich. Comp. Laws § 4.418; 1978 Mich. Pub. Acts 472",,,"Board of Ethics","Mich. Comp. Laws §§ 15.343, 15.345; 1973 Mich. Pub. Acts 196",,,,
"MI2018","MI",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MN1996","MN",1996,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN1998","MN",1998,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2000","MN",2000,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2002","MN",2002,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2004","MN",2004,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2006","MN",2006,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2008","MN",2008,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2010","MN",2010,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2012","MN",2012,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2014","MN",2014,"Refund","MN ST §290.06(23)","Full credit","50","Only allowed to candidates who have signed an agreement to limit campaign expenditures and who are  seeking an office for which voluntary spending limits are specified by law. Contributions to political parties qualify if major political party or minor politicl party that qualifies.","Yes","N/A","No","N/A","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue","MN ST §10A.31","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2016","MN",2016,"None","2015 Session Law CHAPTER 77--S.F.No. 888 voided Minnesota's political contribution refund program (MN ST §290.06(23)) for contributions made after June 30, 2015, and before July 1, 2017.",,,,,,,,"The Ethical Practices Board","MN ST §10A.02","Commissioner of Revenue, The Ethical Practices Board","MN ST §10A.02; 10A.31","The Ethical Practices Board","MN ST §10A.02","N/A","N/A","The Ethical Practices Board","MN ST §10A.02","N/A",,"The Ethical Practices Board","MN ST §10A.02","None",,"No","N/A"
"MN2018","MN",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO1996","MO",1996,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1996 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1996 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1996 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO1998","MO",1998,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2000","MO",2000,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2000 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2000 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2000 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2002","MO",2002,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2002 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2002 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2002 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2004","MO",2004,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 1998 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2006","MO",2006,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2008","MO",2008,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2008 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2010","MO",2010,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2010 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2010 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2010 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2012","MO",2012,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2012 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2012 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2012 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2014","MO",2014,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2016","MO",2016,"None",,,,,,,,,"Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","N/A",,"N/A","N/A","Missouri Ethics Commission","A.L. 1996 S.B. 501, § A.; 2014 § 105.955 R.S.Mo.","Missouri Office of Administration","RSM 37.005, Sess. Laws 1996, H.B. 1359","Missouri Ethics Commission","RSM 105.955(1), Sess. Laws 1991 S.B. 262 § 1; 1994 S.B. 650; 1995 H.B. 484, et al; 1996 S.B. 501.",,,"No","N/A"
"MO2018","MO",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MS1996","MS",1996,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS1998","MS",1998,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2000","MS",2000,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2002","MS",2002,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2004","MS",2004,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2006","MS",2006,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2008","MS",2008,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2010","MS",2010,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2012","MS",2012,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
"MS2014","MS",2014,"None",,,,,,,,,"Secretary of State","Miss. Code Ann. 1972 23-15-805(a) (West) (1996); 23-15-805(a) (2015) (West)","Secretary of State; State Board of Election Commissioners","Miss. Code Ann. 1972 23-15-813 (1996) (West); Miss Code Ann. 23-15-813 (2015) (West)","N/A","N/A","N/A","N/A","Secretary of State; Miss. Ethics Commission","Miss. Code Ann. 5-8-17 (1996) (West); Miss. Code Ann. 5-8-17 (2015) (West)",,,"Miss. Ethics Commission","Miss. Code Ann. 1972 25-4-19 (1996) (West); Miss. Code Ann. 25-4-19 (2015) (West)",,,"No","N/A"
