Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_J,PublicFunding_J_type,PublicFunding_J_explain,Public Funding_J_Qualifying,PublicFunding_J_SpendLimit,PublicFunding_J_SpendLimit_Amount,PublicFunding_J_OtherConditions,PublicFunding_J_OtherConditions_Explained,PublicFunding_J_Trigger,PublicFunding_J_TriggerExplained,PublicFunding_J_Max,PublicFunding_J_Solicitation-by-Cand_Party,PublicFunding_J_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"MN2000","MN",2000,"Session Law: MN Laws 1974, c. 470, § 31; Current Code: MN ST §10A.31","Yes","Other","From (each) the General fund and the Party fund: House candidates receive 35% in election year in which the senate serves 2 year terms and receive 46 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $1,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","25320","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From (each) the General fund and the Party fund: Senate candidates receive 35% in election year in which the senate serves 2 year terms and receive 23 2/3% in calendar year in which senate serves 4 year terms.","For any funding: candidate must raise (counting only the first $50 from each contributor) $3,500 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 10% of the votes cast.","Yes","50630","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No","Yes","Other","From the General account: Gubernatorial candidates receive 21% of the funds;  From the Party account: Gubernatorial candidates receive 14% of the funds.","For any funding: candidate must raise (counting only the first $50 from each contributor) $35,000 in the calendar year ; For funding from party account: Must win primary; For funding from general account: must receive 5% of the votes cast.","Yes","1725920","Yes","A candidate who receives a public subsidy may not contribute to his or her own campaign more than 10 times the contribution limit for that calendar year.","Yes","The law provides that additional funds may be available to match independent expenditures in an amount equal to on half the independent expenditures (NOTE: This was ruled unconstitutional: Day v. Holohan 34 F.3d 1356 (8th Cir. 1994))","Cannot exceed 50% of the expenditure limit","No","No",,,,,,,,,,,,,,"Yes","Candidate must receive at least 10% of votes cast in order for party to be eligible; party may also receive 2000 signatures to be eligible","Party Committee receives 10% of funds in the party account","No maximum",,"MN",,,,,,,,"Checkoff from income tax and renter and homeowner property tax refund return. Each tax payer may checkoff $5; if joint return, each individual may checkoff $5.",,
"AZ2012","AZ",2012,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35888","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35888","Yes","Participating candidates are required to attend debates","No","The Suprmee Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,773,123","Yes","Participating candidates are required to attend debates","No","The Supreme Court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2010","AZ",2010,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35798","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","35798","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,768,618","Yes","Participating candidates are required to attend debates","Changed mid-cycle","A federal district court in McComish v. Bennett ruled that Arizona's matching funds in its public financing system were unconstitutional. An appeal was pending to the Supreme Court.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2008","AZ",2008,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","32303","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","32303","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,595,555","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A 10% surcharge on civil penalties and criminal court fines, 2) The $5 qualifying contributions that participating candidates must provide to the fund, 3) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 4) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2006","AZ",2006,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","29863","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","29863","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,134,623","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2004","AZ",2004,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","28300","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","28300","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,075,373","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2002","AZ",2002,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","26,970","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","26,970","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","1,024,880","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"AZ2018","AZ",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ2000","AZ",2000,"ARS §§ 16-807, 16-917, 43-612, 16-941 et. seq.","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","25,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered in the electoral district of the office the candidate is seeking","Must receive 200 qualifying contributions of $5 each from qualified electors","Yes","25,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes","Yes","Full Public Financing","Donors must be registered electors in Arizona","Must receive 4000 qualifying contributions of $5 each from qualified electors","Yes","950,000","Yes","Participating candidates are required to attend debates","Yes","When a nonparticipating candidate spends above the spending limit for participating candidates, the participating candidates are granted funds and an increase in the maximum expenditures in an amount equal to the amount that the nonparticipating candidate has spent above the previous limits. There does not appear to be a statutory limit to the amount that can be granted in overages.",,"Yes","Yes",,,,,,,,,,,,,,"Yes","Parties are eligible if they are qualified for representation on the state primary and general election ballot. A new party achieves this status through a petitioning process with a signature requirement of 1.33% of the total votes in the Gov. election","Taxpayers select which party they would like their funds distributed to","Not specified",,"AZ",,,,,,,,"For Candidates: 1) A $100 annual fee imposed on lobbyists, 2) A 10% surcharge on civil penalties and criminal court fines, 3) The $5 qualifying contributions that participating candidates must provide to the fund, 4) A $5 tax checkoff (A taxpayer who checks the box receives a five-dollar reduction in the amount of tax, and five dollars from the amount of taxes paid shall be transferred by the department of revenue to the fund), and 5) A dollar-for-dollar tax credit not to exceed twenty percent of the tax amount on the return or five hundred dollars per taxpayer (individual or business entity), whichever is higher.

For Political Parties: Tax forms include a checkoff giving taxpayers the opportunity to indicate a party they would like to contribute $2, $5, or $10 of their tax refund to. Since these funds are deducted from their refund, it does result in taxpayers receiving less money in their refund.",,
"CA1996","CA",1996,"CRTC §§ 18703, 18705; Stats. 1993 ch. 31 § 26","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","2% of vote in gubernatorial election, or stated political affiliation of 1% of the vote, or petition","Individuals get to designate which party will receive their funds","NA",,,,,,,,,,"This public financing is funded through a tax checkoff. A person's tax liability is not decreased by using this checkoff. This form of public financing was discontinued in January 1997.",,
"CA2000","CA",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2002","CA",2002,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2004","CA",2004,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2006","CA",2006,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2008","CA",2008,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2010","CA",2010,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2012","CA",2012,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2014","CA",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"CA",,,,,,,,,,
"CA2016","CA",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA2018","CA",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA1998","CA",1998,"CRTC §§ 18703, 18705; Stats. 1993 ch. 31 § 26","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","2% of vote in gubernatorial election, or stated political affiliation of 1% of the vote, or petition","Individuals get to designate which party will receive their funds","NA",,"CA",,,,,,,,"This public financing is funded through a tax checkoff. A person's tax liability is not decreased by using this checkoff. This form of public financing was discontinued in January 1997.",,
"CT2018","CT",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CT2014","CT",2014,"CGS 9-702, 9-704, 9-705, 9-710, 9-712, 3-69a;P.A. 05-05, P.A. 06-137, P.A. 08-2, P.A. 10-1","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $11,140 for the primary and $27,850 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $27,850 for the primary and the above general election amounts.","Must raise $5,000 in qualifying contributions of between $5 and $100 at least 150 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","60700","No",,"No",,"55700","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $38,990 for the primary and $94,690 for the general if they have competitive opposition, 60% of this amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $83,550 for the primary and the above general election amounts.","Must raise $15,000 in qualifying contributions of between $5 and $100 at least 300 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","193240","No",,"No",,"178240","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for Governor will be awarded a grant of $1,354,250 for the primary and $6,500,400 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed.","Must raise $250,000 in qualifying contributions of between $5 and $100, at least $225,000 of which must be from in-state residents. Contributions from state contractors are not qualifying contributions.","Yes","8104650","No",,"No",,"7854650","No","No",,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,"The Citizens' Election Fund is funded through the sale of abandoned property that has reverted to the state. If the amount in the fund is not enough to fulfill all grants, then tax revenue will be used to cover the difference.",,
"CT2012","CT",2012,"CGS 9-702, 9-704, 9-705, 9-710, 9-712, 3-69a;P.A. 05-05, P.A. 06-137, P.A. 08-2, P.A. 10-1","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $10,740 for the primary and $26,850 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $26,850 for the primary and the above general election amounts.","Must raise $5,000 in qualifying contributions of between $5 and $100 at least 150 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","58700","No",,"No",,"53700","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $37,590 for the primary and $91,290 for the general if they have competitive opposition, 60% of this amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $80,550 for the primary and the above general election amounts.","Must raise $15,000 in qualifying contributions of between $5 and $100 at least 300 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","186840","No",,"No",,"171840","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for Governor will be awarded a grant of $1.25 million for the primary and $6 million for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed.","Must raise $250,000 in qualifying contributions of between $5 and $100, at least $225,000 of which must be from in-state residents. Contributions from state contractors are not qualifying contributions.","Yes","7500000","No",,"No",,"7250000","No","No",,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,"The Citizens' Election Fund is funded through the sale of abandoned property that has reverted to the state. If the amount in the fund is not enough to fulfill all grants, then tax revenue will be used to cover the difference.",,
"CT2010","CT",2010,"CGS 9-702, 9-704, 9-705, 9-710, 9-712, 3-69a;P.A. 05-05, P.A. 06-137, P.A. 08-2, P.A. 10-1","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $10,400 for the primary and $26,000 for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $26,000 for the primary and the above general election amounts.","Must raise $5,000 in qualifying contributions of between $5 and $100 at least 150 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","57000","No",,"Changed mid-cycle",,"52000","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for state representative will be awarded a grant of $36,400 for the primary and $88,400 for the general if they have competitive opposition, 60% of this amount if they have limited opposition, and 30% if they are unpposed. Candidates in party-dominant districts (districts in which the candidate's party has an enrollment margin of at least 20%) will receive $78,000 for the primary and the above general election amounts.","Must raise $15,000 in qualifying contributions of between $5 and $100 at least 300 of which must be from residents of municipalities included, in whole or in part, in the district. Contributions from state contractors are not qualifying contributions.","Yes","181400","No",,"Changed mid-cycle",,"166400","No","No","Yes","Partial Grant","Once the qualifying threshold is reached, candidates for Governor will be awarded a grant of $1.25 million for the primary and $6 million for the general if they have competitive opposition, 60% of that amount if they have limited opposition, and 30% if they are unpposed.","Must raise $250,000 in qualifying contributions of between $5 and $100, at least $225,000 of which must be from in-state residents. Contributions from state contractors are not qualifying contributions.","Yes","7500000","No",,"No",,"7250000","No","No",,,,,,,,,,,,,,"No",,,,,"CT",,,,,,,,"The Citizens' Election Fund is funded through the sale of abandoned property that has reverted to the state. If the amount in the fund is not enough to fulfill all grants, then tax revenue will be used to cover the difference.",,
