Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,IndividualToCandLimit_J,IndividualToCandLimit_J_Period,IndividualToCandLimit_J_Max,IndividualToCandLimit_J_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,PACToCandLimit_J,PACToCandLimit_J_Period,PACToCandLimit_J_Max,PACToCandLimit_J_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,SpecialPACToCandLimit_J,SpecialPACToCandLimit_J_Period,SpecialPACToCandLimit_J_Max,SpecialPACToCandLimit_J_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessLimit_Period,DoingBusinessLimit_Max,DoingBusinessLimit_Explained,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,Session_Limit,Session_Limit_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"GA1996","GA",1996,"Ga. Code Ann. § 21-5-41 (1996).","No",,,"No",,,"No",,"Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.",,,,,"Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.","Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.","Limited",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",2000,"Per Year",3000,"Limit in non-election years is $1,000. Limit in election years is $2,000.",5000,"Per Year",8000,"Limit in non-election years is $1,000. Limit in election years is $5,000.","Limited","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","2000","Per Year","3000","Limit in non-election years is $1,000. Limit in election years is $2,000.","5000","Per Year","8000","Limit in non-election years is $1,000. Limit in election years is $5,000.","No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","Members of the General Assembly, state-wide elected officers, and campaign committees of candidates are prohibited from seeking or accepting contributions or pledges of contributions during legislative sessions. This does not apply to judicial officers or judicial candidates elected state-wide.","No",,"No",
"ID2016","ID",2016,"1997 Idaho Sess. Laws 393 (Idaho Code Ann. § 67-6610A (2015))","No",,,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,"Limited",2000,"Per Election",4000,,2000,"Per Election",4000,,10000,"Per Election",20000,,"Limited","2000","Per Election","2000",,"2000","Per Election","2000",,"10000","Per Election","10000",,"Unlimited",,,,"The law is silent.",,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"ID1998","ID",1998,"1997 Idaho Sess. Laws 393 (Idaho Code Ann. § 67-6610A (1998))","No",,,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,"Limited",1000,"Per Election",2000,,1000,"Per Election",2000,,5000,"Per Election",10000,,"Limited",2000,"Per Election",4000,,2000,"Per Election",4000,,10000,"Per Election",20000,,"Limited","2000","Per Election","2000",,"2000","Per Election","2000",,"10000","Per Election","10000",,"Unlimited",,,,"The law is silent.",,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"IA2010","IA",2010,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2012","IA",2012,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2014","IA",2014,"Iowa Code § 68A.501 et seq.","No",,,"No",,,"No",,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,"Yes","No monetary or in-kind contributions may be accepted by a legislator during a legislative session unless the legislator has filed nominating papers for a special election that will take place during the legislative session.","No",,,
"IA2016","IA",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IA2018","IA",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IA2020","IA",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MD1996","MD",1996,"Old Code: Md. Ann. Code. art. 33 §§ 13-212 et seq. and 13-214  (1957); Current Code: Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD1998","MD",1998,"Old Code: Md. Ann. Code. art. 33 §§ 13-212 et seq. and 13-214  (1957); Current Code: Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1995, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1994 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1995, regardless of party affiliation. Approximately $4723.50 (Kent) to $202,711.50 (Montgomery). Figure is based on number of registered voters in that county for the 1994 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD2000","MD",2000,"Old Code: Md. Ann. Code. art. 33 §§ 13-212 et seq. and 13-214  (1957); Current Code: Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.",1174895,"Election Cycle",1174895,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters in each county as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD2002","MD",2002,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1284824,"Election Cycle",1284824,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation.",1284824,"Election Cycle",1284824,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1998 Gubernatorial election.",1284824,"Election Cycle",1284824,"Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Figure is based on number of registered voters in the state for the 1998 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 1999, regardless of party affiliation. Approximately $5260 (Kent) to $216,089 (Montgomery). Figure is based on number of registered voters in that county for the 1998 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
"MD2004","MD",2004,"2002 Md. Laws, Chap. 291, §4; Md. Election Law Code Ann. §§ 13-225 - 13-235","No",,,"Yes","Only affects contribution  for state or local parties to candidates. The limit is based on population. A state or local party may contribute $1 for every 2 registered voters in the state or county regardless of party affiliation.  This number is based on the total number of registered voters for the immediately preceeding gubernatorial election.",,"No",,"Limited",4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",4000,,4000,"Per Election Cycle",,,"Limited",6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",6000,,6000,"Per Election Cycle",,,"No",,,,,,,,,,,,,,,,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,4000,"Election Cycle",4000,,"Limited",1388181,"Election Cycle",1388181,"Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2002 Gubernatorial election.",1388181,"Election Cycle",1388181,"Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2002 Gubernatorial election.",1388181,"Election Cycle",1388181,"Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Figure is based on number of registered voters in the state for the 2002 Gubernatorial election.","Limited","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Approximately $5309 (Kent) to $233,525 (Montgomery). Figure is based on number of registered voters in that county for the 2002 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Approximately $5309 (Kent) to $233,525 (Montgomery). Figure is based on number of registered voters in that county for the 2002 Gubernatorial election.","Varies","Election Cycle","Varies","Limit is $1 for every 2 registered voters as of January 1, 2003, regardless of party affiliation. Approximately $5309 (Kent) to $233,525 (Montgomery). Figure is based on number of registered voters in that county for the 2002 Gubernatorial election.","Limited",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.",6000,"Election Cycle",6000,"Limit not applicable when a slate gives to a candidate on that slate.","Yes","$10,000 aggregate limit for all candidates during an election cycle.","No",,,,,,,,,,"Yes","A lobbyist, or person acting on a lobbyist's behalf, may not at any time solicit funds for, or transfer funds to a member or candidate for general assembly. A lobbyist may not serve on a member's or candidate's fundraising committee or political committee or act as the treasurer or chair of a political committee intended to benefit a member or candidate for election to the General Assembly. However, a lobbyist may make personal contributions. A lobbyist may provide recommendations to others regarding who to donate to. A lobbyist may attend a candidate fundraiser if: (1) a political action committee purchases the tickets, (2) the comittee gives the lobyist the ticket, and (3) the lobbyist neither solicited nor transmitted the ticket payment.","Yes","Absolute prohibition on receiving or soliciting contributionns, conducting or selling tickets to a fundraising event, or depositing any contributions that were not deposited prior to the start of the session.","No",,"No",
